Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Bo Bichette,TOR,SS,24,90,377,49,98,20,0,14,49,7,6,25,98,0,0,0,.260,.306,.424,.730
Cesar Hernandez,WAS,2B,32,91,361,43,88,19,2,0,20,3,2,29,71,1,1,4,.244,.306,.307,.613
Trea Turner,LAD,SS,29,89,359,52,109,22,2,12,65,17,2,27,76,0,4,2,.304,.352,.476,.828
Tommy Edman,STL,2B,27,91,358,61,92,16,3,7,33,19,3,30,71,1,1,3,.257,.319,.377,.696
Matt Olson,ATL,1B,28,92,356,42,91,33,0,16,56,0,0,47,97,0,2,1,.256,.342,.483,.825
Austin Riley,ATL,3B,25,90,354,53,100,21,1,26,60,2,0,28,101,0,2,7,.282,.345,.568,.913
Cedric Mullins,BAL,OF,27,88,354,48,93,23,1,7,36,18,4,26,66,1,2,6,.263,.322,.393,.715
Dansby Swanson,ATL,SS,28,92,352,57,103,19,1,15,52,14,3,29,102,0,1,3,.293,.351,.480,.831
Marcus Semien,TEX,2B,31,87,352,49,84,15,2,12,42,16,2,29,64,0,5,2,.239,.296,.395,.691
Freddie Freeman,LAD,1B,32,89,351,58,112,30,2,12,58,7,0,43,66,0,4,4,.319,.396,.519,.915
Francisco Lindor,NYM,SS,28,89,348,52,85,12,3,16,65,9,2,33,76,0,5,7,.244,.318,.434,.752
Nick Castellanos,PHI,OF,30,89,347,35,87,19,0,8,46,4,1,21,91,0,2,2,.251,.296,.375,.671
Jake Cronenworth,SD,2B,28,90,345,58,83,22,2,9,49,1,0,41,82,0,4,11,.241,.337,.394,.731
Vladimir Guerrero,TOR,1B,23,90,343,48,90,14,0,20,56,0,1,37,69,0,3,4,.262,.339,.478,.817
Jose Abreu,CWS,1B,35,88,338,51,102,24,0,11,45,0,0,42,58,0,2,4,.302,.383,.470,.853
C.J. Cron,COL,1B,32,88,338,54,100,20,2,21,69,0,0,24,97,0,4,6,.296,.349,.553,.902
Julio Rodriguez,SEA,OF,21,89,338,52,93,17,2,16,50,21,4,25,100,0,1,6,.275,.335,.479,.814
Corey Seager,TEX,SS,28,86,337,48,83,11,0,22,51,3,0,36,60,0,4,3,.246,.321,.475,.796
Marcell Ozuna,ATL,OF,31,87,335,41,75,12,0,17,37,2,1,26,82,0,3,2,.224,.281,.412,.693
Josh Bell,WAS,1B,29,91,334,46,102,21,2,13,48,0,1,41,53,0,4,5,.305,.385,.497,.882
Paul Goldschmidt,STL,1B,34,89,334,63,110,28,0,19,67,5,0,47,81,0,1,2,.329,.414,.584,.998
Bobby Witt,KC,SS,22,86,333,48,85,18,5,13,46,17,3,20,83,0,3,3,.255,.301,.456,.757
Pete Alonso,NYM,1B,27,89,332,50,89,14,0,24,74,2,1,34,79,0,7,8,.268,.344,.527,.871
Eugenio Suarez,SEA,3B,30,90,332,43,80,18,1,16,50,0,0,45,122,0,3,4,.241,.336,.446,.782
Aaron Judge,NYY,OF,30,87,332,69,91,14,0,31,66,8,0,43,100,0,4,0,.274,.354,.596,.950
Nolan Arenado,STL,3B,31,88,331,41,97,21,1,18,59,1,3,33,48,0,3,3,.293,.359,.526,.885
Randy Arozarena,TB,OF,27,86,331,40,82,20,2,10,40,18,7,22,93,0,1,7,.248,.307,.411,.718
Shohei Ohtani,LAA,DH,28,88,329,51,84,15,2,19,56,10,6,44,91,0,2,3,.255,.347,.486,.833
Rhys Hoskins,PHI,1B,29,89,329,48,81,18,2,18,43,0,0,45,96,0,2,2,.246,.339,.477,.816
Kyle Schwarber,PHI,OF,29,88,327,61,69,12,0,28,57,4,1,52,116,0,1,2,.211,.322,.505,.827
Jose Ramirez,CLE,3B,29,86,326,51,93,30,4,17,70,13,4,40,36,0,2,3,.285,.367,.558,.925
Jonathan Schoop,DET,2B,30,87,326,31,70,14,1,6,23,5,0,12,68,0,1,3,.215,.249,.319,.568
Adam Frazier,SEA,2B,30,89,325,37,76,13,1,3,24,3,4,29,43,1,3,1,.234,.296,.308,.604
Xander Bogaerts,BOS,SS,29,87,324,54,103,24,0,7,37,5,0,36,73,0,4,6,.318,.392,.457,.849
Andrew Benintendi,KC,OF,28,87,322,37,102,14,2,3,37,2,2,37,51,0,3,1,.317,.386,.401,.787
